username_name,username_rating,username_inital_statement,username_country,username_verified,username_review,username_usefulness
Asia underwood,4.0 out of 5 stars,It has good noise cancellation the only problem i had was it was under another persons name.,"Reviewed in the United States 🇺🇸 on February 1, 2023",Verified Purchase,"so when I bought these , I knew what i wanted specificallyand that was AirPods pros but I wanted it to be as cheap as possible this was the one I found And I was kinda scared to buy it because everybody had something to say about the product and I order January 26 and it came on the 31'st when I got it the box was a little beat up but when I opened up my AirPods it looked brand new then I tried to pair them to my phone but it came up as
"" grandma "" so I paired them to my phone then went to my settings and change the name of the pods then I paired it to my tracker and it was as if it was brand new the noise cancellation is great and they didn't have no problems and FYI I got the excellent condition...!!!",7 people found this helpful
Katie,4.0 out of 5 stars,Love these Headphones,"Reviewed in the United States 🇺🇸 on February 2, 2023",Verified Purchase,"I bought these headphones last year and they have worked great ever since I have gotten them. Their noise cancellation is great and you can't hear anything after you switch it on. The sound quality and battery life is also really great. The only thing that I don't like is there is a notification on my phone about the headphones following me when I own them. I did figure out how to turn it off but that is the only thing that I didn't like. Other than that minor inconvenience, the headphones are amazing.",6 people found this helpful
Sean Connolly,4.0 out of 5 stars,Solid,"Reviewed in the United States 🇺🇸 on December 12, 2022",Verified Purchase,"The noise cancellation feature is very cool, and for people that are looking for that as a main feature in their earbuds, I think they’ll be thrilled.
For me, I was more interested in the sound quality and battery life, and was a little disappointed. It is by no means bad, but it also isn’t anything world shattering.
I went from normal AirPods to Pros and was expecting a much more significant jump in quality. There is a noticeable jump, but it is far from the leap I was looking for. The Pros sound better, but I still find myself using my regular AirPods often because I prefer the fit of those over the larger silicon tips of the Pros. Battery life is also higher, but again, it’s more of a mild improvement than a generational leap.
They’re very solid, but not a must buy. I think for most people, the choice between AirPods and Airpod Pros will end up being personal taste, and which features and fit they prefer.",6 people found this helpful
Michelle,5.0 out of 5 stars,BUY IT RN,"Reviewed in the United States 🇺🇸 on January 17, 2023",Verified Purchase,i was a little bit skeptical at first because i had never bought a refurbished apple product before but i didnt want to spend the almost $300 when i could get it for $150ish. it shipped really really fast like i literally got it 2 days after i bought it and i didnt even pay for the expedited shipping. The noise cancellation works perfectly and the airpods are in perfect condition and it even came in the original box so you could totally gift these to someone else. The only thing tho that i didnt like was that when you try to connect it to your find my iphone app it says that there's a part missing which is prohibiting it from connecting but that's honestly the only thing wrong with it.,7 people found this helpful
Jayden,5.0 out of 5 stars,Greta product slightly dirty,"Reviewed in the United States 🇺🇸 on February 15, 2023",Verified Purchase,"Everything works! The only down sid Eid there was some dirt and left over earwax on the earbud, I’m assuming from testing before shipping out. But nothing rubbing alcohol can’t fix!",
Trevor Jordan,4.0 out of 5 stars,Quality,"Reviewed in the United States 🇺🇸 on January 26, 2023",Verified Purchase,"Very good quality, sound is ok for mid and high notes but not much bass. Battery life is great for the buds. The case can recharge a couple of times.",3 people found this helpful
Savana,4.0 out of 5 stars,These AirPods are real,"Reviewed in the United States 🇺🇸 on December 24, 2022",Verified Purchase,"I got scared after looking at the question part of the reviews and looked too see if mine were actually real or not glad too see that they are, although they do keep pausing my video and stuff I think that’s just because they’re falling out since I haven’t changed the sizes on them they came clean the box being the only thing that was a litte dirty",4 people found this helpful
Giovany,5.0 out of 5 stars,Works perfect,"Reviewed in the United States 🇺🇸 on February 16, 2023",Verified Purchase,I’ve had them for at least a year now and they’ve worked solidly ever since,
Me,4.0 out of 5 stars,Works good but…,"Reviewed in the United States 🇺🇸 on January 4, 2023",Verified Purchase,Everything works fine and sounds good but I hate the fact that I’m unable to use them in the find my app. Tried troubleshooting but nothing has worked. Will be returning them. These are a great option if you do not care to track them.,5 people found this helpful
Janina,5.0 out of 5 stars,Like brand new!,"Reviewed in the United States 🇺🇸 on February 13, 2023",Verified Purchase,I have bought all my Apple products refurbished so much cheaper but like brand new!,
Mike E,4.0 out of 5 stars,Very clean and ready to ise,"Reviewed in the United States 🇺🇸 on January 11, 2023",Verified Purchase,Pleased with the AirPods I am getting used to them sometimes they seem to have a little static. Especially when listening to streaming apps.,3 people found this helpful
Lila,5.0 out of 5 stars,Bueno,"Reviewed in the United States 🇺🇸 on February 21, 2023",Verified Purchase,Buen artículo.,
Kiki,4.0 out of 5 stars,Ensure both are working properly,"Reviewed in the United States 🇺🇸 on December 4, 2022",Verified Purchase,"The seller is fantastic and resolved my concerns. Removing a star for the following:
The right AirPod upon receipt was not working as expected. The sound quality was terrible, it sounded crackly, as if something was loose inside. I have just received the replacement pod and it came with a large tip, the ogs came with medium. Once I swapped the tip I was able to get a good seal and it’s working properly.",4 people found this helpful
kiesha,5.0 out of 5 stars,Great product,"Reviewed in the United States 🇺🇸 on January 21, 2023",Verified Purchase,Left ear is a little sluggish for the iPhone to identify that it has been with air pods and vest sound on the right side but other than that great noise cancellation and great sound,One person found this helpful
Denise Tzintzun,5.0 out of 5 stars,AirPods,"Reviewed in the United States 🇺🇸 on February 8, 2023",Verified Purchase,There are really good I recommend them,
Conrad S.,4.0 out of 5 stars,Pro is great quality with sound and functionality,"Reviewed in the United States 🇺🇸 on January 4, 2023",Verified Purchase,Love the battery and noise cancellation,
Jack,4.0 out of 5 stars,Would recommend,"Reviewed in the United States 🇺🇸 on December 30, 2022",Verified Purchase,When playing music at max volume hear scratches,One person found this helpful
brendan,4.0 out of 5 stars,"good, but cant use noise cancellation or transparency","Reviewed in the United States 🇺🇸 on September 23, 2022",Verified Purchase,"Got these to go to the gym and stop dealing with the constraints of a wire. They work great for that but they didn't come out of the box perfect. The left AirPod has a clicking sound that comes on whenever I try noise cancellation or transparency. The right one is perfectly fine. Luckily, they're not features I NEED but it would've been nice if they worked how they're supposed to. I tried to get help for issue from the Internet and then Amazon's Product Support, who suggested the same things I already did and then sent me to message the seller. I tried to ask about the warranty to the seller but they sent me back to Amazon support. So whatever, I will deal. I still like them.",14 people found this helpful
Trust Me,4.0 out of 5 stars,Overall good but earpiece broken,"Reviewed in the United States 🇺🇸 on November 21, 2022",Verified Purchase,I love my AirPods with their noise cancelation. Always nice to sit and read a book in a noisy coffee shop and block out all the distractions with my music. My one complaint is my right AirPod came with a loose rubber earpiece and it falls off often now. Overall recommend saving the money with refurbished.,3 people found this helpful
Dawit,5.0 out of 5 stars,Good,"Reviewed in the United States 🇺🇸 on February 3, 2023",Verified Purchase,Good,
