username,rating,initial_statement,country,verified,review,usefulness,date,positive
Asia underwood,4,It has good noise cancellation the only problem i had was it was under another persons name.,United States,1,"so when I bought these , I knew what i wanted specificallyand that was AirPods pros but I wanted it to be as cheap as possible this was the one I found And I was kinda scared to buy it because everybody had something to say about the product and I order January 26 and it came on the 31'st when I got it the box was a little beat up but when I opened up my AirPods it looked brand new then I tried to pair them to my phone but it came up as
"" grandma "" so I paired them to my phone then went to my settings and change the name of the pods then I paired it to my tracker and it was as if it was brand new the noise cancellation is great and they didn't have no problems and FYI I got the excellent condition...!!!",7,2023-02-01,1
Katie,4,Love these Headphones,United States,1,"I bought these headphones last year and they have worked great ever since I have gotten them. Their noise cancellation is great and you can't hear anything after you switch it on. The sound quality and battery life is also really great. The only thing that I don't like is there is a notification on my phone about the headphones following me when I own them. I did figure out how to turn it off but that is the only thing that I didn't like. Other than that minor inconvenience, the headphones are amazing.",6,2023-02-02,1
Sean Connolly,4,Solid,United States,1,"The noise cancellation feature is very cool, and for people that are looking for that as a main feature in their earbuds, I think they’ll be thrilled.
For me, I was more interested in the sound quality and battery life, and was a little disappointed. It is by no means bad, but it also isn’t anything world shattering.
I went from normal AirPods to Pros and was expecting a much more significant jump in quality. There is a noticeable jump, but it is far from the leap I was looking for. The Pros sound better, but I still find myself using my regular AirPods often because I prefer the fit of those over the larger silicon tips of the Pros. Battery life is also higher, but again, it’s more of a mild improvement than a generational leap.
They’re very solid, but not a must buy. I think for most people, the choice between AirPods and Airpod Pros will end up being personal taste, and which features and fit they prefer.",6,2022-12-12,1
Michelle,5,BUY IT RN,United States,1,i was a little bit skeptical at first because i had never bought a refurbished apple product before but i didnt want to spend the almost $300 when i could get it for $150ish. it shipped really really fast like i literally got it 2 days after i bought it and i didnt even pay for the expedited shipping. The noise cancellation works perfectly and the airpods are in perfect condition and it even came in the original box so you could totally gift these to someone else. The only thing tho that i didnt like was that when you try to connect it to your find my iphone app it says that there's a part missing which is prohibiting it from connecting but that's honestly the only thing wrong with it.,7,2023-01-17,1
Jayden,5,Greta product slightly dirty,United States,1,"Everything works! The only down sid Eid there was some dirt and left over earwax on the earbud, I’m assuming from testing before shipping out. But nothing rubbing alcohol can’t fix!",0,2023-02-15,1
Trevor Jordan,4,Quality,United States,1,"Very good quality, sound is ok for mid and high notes but not much bass. Battery life is great for the buds. The case can recharge a couple of times.",3,2023-01-26,1
Savana,4,These AirPods are real,United States,1,"I got scared after looking at the question part of the reviews and looked too see if mine were actually real or not glad too see that they are, although they do keep pausing my video and stuff I think that’s just because they’re falling out since I haven’t changed the sizes on them they came clean the box being the only thing that was a litte dirty",4,2022-12-24,1
Giovany,5,Works perfect,United States,1,I’ve had them for at least a year now and they’ve worked solidly ever since,0,2023-02-16,1
Me,4,Works good but…,United States,1,Everything works fine and sounds good but I hate the fact that I’m unable to use them in the find my app. Tried troubleshooting but nothing has worked. Will be returning them. These are a great option if you do not care to track them.,5,2023-01-04,1
Janina,5,Like brand new!,United States,1,I have bought all my Apple products refurbished so much cheaper but like brand new!,0,2023-02-13,1
