username,rating,initial_statement,country,verified,review,usefulness,date,positive
Asia underwood,4,It has good noise cancellation the only problems i had was it was used.,United States,1,"so when i boought before, i knew what i wanted spectifyand that was airpods pros but i wanted it to be ace cheap as possible this was the one i found and i was kinda scaled to buy it it scholause everybebody had to subdu I Order January 26 and it came on the 31'ST WHEN I GOT IT THE BOX WAS A LITTLE BEAT UP BUT WHEN I OPned Up My Airpods It Looked Brand New Than I TRIED TO PAIR THEM TO MY PHONE BUT IT CAME UP AS 
 ""Grandma"" so i paired them to my phone then went to my settings and change the name of the pods Than i paired it to my tracker and it was as if it was brand new the noise cancellation is great and they didn't have no no problems and fyi i got the excellent condition ... !!!",7,2023-02-01,1
Katie,4,Love before Headphones,United States,1,"I boought these headphones Last Year and they have worked great ever since I have drop them. Their Noise Cancellation Is Great and You Can't Hear Anything After You Switch It On. The Sound Quality and Battery Life is Also Really Great. The Only Thing That I Don't Like is There is a Notification On My Phone About The Headphones Following Me When I Own Them. I DID FIGURE OUT TO TURN IT OFF BUT THAT IS THE ONLY THING THAT I DIDN'T Like. Oher Than That Minor Disadvenient, The Headphones Are Amazing.",6,2023-02-02,1
Sean Connolly,4,Solid,United States,1,"The Noise Cancellation Feature Is Vry Cool, and for People That Are Looking for That As A Main Feature in Earbuds, I Think they’ll be Thrilled. 
 For me, I was intersted in the sound quality and battery life, and was a little disappointed. It is by no means bad, but it also isn’t anything worldhattering. 
 I Went from Normal Airpods to pros and was expecting a lot of meaning Jump in Quality. There is a notable Jump, but it is far from the leap i was looking for. The Pros Sound Better, But i Still Find Myelf Using My Regular Airpods Offen Becouse I Prefer The Fit of Those Over The Larger Silicon Tips of the pros. Battery Life Is Also Higher, But Again, It’s More of A Mild Improvement Than A Generational Leap. 
 They’re Very Solid, but not A Must Buy. I Think for Most People, The Choice Between Airpods and Airpod Pros Will End Up Being Personal Taste, and Which Features and Fit They Prefer.",6,2022-12-12,1
Michelle,5,BUY IT RN,United States,1,I was a little bit skeptical at first scholause i had Never boought a Refurbished Apple Product Before But I Didnt Want To Spend The Almost $ 300 WHEN I COULD GET IT FOR $ 150ISH. it Shipped Really Really Fast Like I Literally Got It 2 Days After I Bought It and I Didnt Even Pay for The Expected Shipping. The Noise Cancellation Works Perfectly and the Airpods are in Perfect condition and it Even Came in the original box so you could Totally Gift these to Sub Subsone Else. The Only Thing That I Didnt Like was that when you try to connect it to your find my iPhone App It Says That There's a Missing Which is prohibiting it from connection but that honestly the Only Thing Wrong with it.,7,2023-01-17,1
Jayden,5,Greta Product Slightly Dirty,United States,1,"EveryTHING WORKS! The Only Down Sid Eid there was Sub Dirt and Left Over Earwax on The Earbud, I’m Assuming From Testing Before Shipping Out. But nothing rubbing alcohol can’t fix!",0,2023-02-15,1
Trevor Jordan,4,Quality,United States,1,"Vary Good Quality, Sound Is Ok for Mid and High Notes But Not Much Bass. Battery Life is great for the Buds. The Case Can Recharge A Couple of Times.",3,2023-01-26,1
Savana,4,These Airpods are Real,United States,1,"I GOT SCARED AFTER LOOKING AT THE QUESTION PART OF THE REVIEWS AND LOOKED TOO SEE IF MINE WERE ACCOUNT REALLY OR NOT GLAD TOO SEE THAT THAT ARE, ALTHOUGUD they do keep pausing my video and STUFF I THINK THAT'S JUS I HAV'T CHANGED THE SIZES ONHEM THE CAME CLEAN THE BOX BEING THE ONLY THING THAT WAS A LITTE DIRTY",4,2022-12-24,1
Giovany,5,Works Perf,United States,1,I’ve Had Them for At Least A YEAR NOW AND they’VE WORKED SOLIDLY EVER SINCE,0,2023-02-16,1
Me,4,Good butys work ...,United States,1,EveryTHING WORKS FINE AND SOUNTS GOOD BUT I HATE THE FACT THAT I’M UNIBLE TO USE THEM IN THE FIND MY APP. TRIED TROUBLASHOOTING BUT NOHING HAS WORKED. Will Be Returning Them. You are ae a Great option If you do not care to track them.,5,2023-01-04,1
Janina,5,Like Brand New!,United States,1,I have boought all My Apple Products Refurbished so a lot,0,2023-02-13,1
Mike E,4,Vary Clean and Ready to ise,United States,1,Pleased with the Airpods I am getting used to Thanm Subtimes They Seem To have a Little Static. Specially When Listening to Streaming Apps.,3,2023-01-11,1
Lila,5,Well,United States,1,Good article.,0,2023-02-21,1
Kiki,4,Ensure Boe Working Properly,United States,1,"The Seller is Fantastic and Resolved My Concerns. Star for the Following Removing: 
 The Right Airpod Upon Receipt was not working as Expressed. The Sound Quality was terrible, it sounded crackly, as if subthing was loos inside. I have just prescribed the replacement pod and it came like a Large Tip, The Ogs Came with Medium. Eleven i swapped the tip i was uble to get a good Seal and it’s working properly.",4,2022-12-04,1
kiesha,5,Great Product,United States,1,LEFT EAR IS A LITTLE SLUGGISH FOR THE IPHONE TO ID ID,1,2023-01-21,1
Denise Tzintzun,5,Airpods,United States,1,There are Really Good I Recommend than,0,2023-02-08,1
Conrad S.,4,Pro is great quality with sound and functionality,United States,1,Love The Battery and Noise Cancellation,0,2023-01-04,1
Jack,4,Would recommends,United States,1,When Playing Music at Max Volume Hear Scratches,1,2022-12-30,1
brendan,4,"Good, But Cant use noise cancellation or transparency",United States,1,"GOTSE to go to the gym and stop dealing with the constraints of a wire. They work great for that but they didn't com ete out of the box perfect. The Left Airpod has a click Sound that comes on whenever i try noise cancellation or transparency. The Right One is Perfectly Fine. Luckily, they're not features i need but it was been nice if they work How they're supposed to. I tried to get help for issue from the Internet and The Amazon's Product Support, Who Sugged The Same Things I Already Did and The Sent Me To Message The Seller. I tried to ask about the warranty to the seller but they feel me back to amazon support. So Whatover, I Will Deal. I Still Like Them.",14,2022-09-23,1
Trust Me,4,Overall Good But Earpiece Broken,United States,1,I Love My Airpods With Their Noise Cancelation. Always Nice To Sit and read a Book in a Noisy Coffee Shop and Block out All The Distractions with My Music. My One Complaint is My Right Airpod Came With A Loose Rubber Earpiece and It Falls Off Often Now. Overall Recommend Saving The Money with Refurbished.,3,2022-11-21,1
Dawit,5,Good,United States,1,Good,0,2023-02-03,1
Asia underwood,4,It has good noise cancellation the only problems i had was it was used.,United States,1,"so when i boought before, i knew what i wanted spectifyand that was airpods pros but i wanted it to be ace cheap as possible this was the one i found and i was kinda scaled to buy it it scholause everybebody had to subdu I Order January 26 and it came on the 31'ST WHEN I GOT IT THE BOX WAS A LITTLE BEAT UP BUT WHEN I OPned Up My Airpods It Looked Brand New Than I TRIED TO PAIR THEM TO MY PHONE BUT IT CAME UP AS 
 ""Grandma"" so i paired them to my phone then went to my settings and change the name of the pods Than i paired it to my tracker and it was as if it was brand new the noise cancellation is great and they didn't have no no problems and fyi i got the excellent condition ... !!!",7,2023-02-01,1
Katie,4,Love before Headphones,United States,1,"I boought these headphones Last Year and they have worked great ever since I have drop them. Their Noise Cancellation Is Great and You Can't Hear Anything After You Switch It On. The Sound Quality and Battery Life is Also Really Great. The Only Thing That I Don't Like is There is a Notification On My Phone About The Headphones Following Me When I Own Them. I DID FIGURE OUT TO TURN IT OFF BUT THAT IS THE ONLY THING THAT I DIDN'T Like. Oher Than That Minor Disadvenient, The Headphones Are Amazing.",6,2023-02-02,1
Sean Connolly,4,Solid,United States,1,"The Noise Cancellation Feature Is Vry Cool, and for People That Are Looking for That As A Main Feature in Earbuds, I Think they’ll be Thrilled. 
 For me, I was intersted in the sound quality and battery life, and was a little disappointed. It is by no means bad, but it also isn’t anything worldhattering. 
 I Went from Normal Airpods to pros and was expecting a lot of meaning Jump in Quality. There is a notable Jump, but it is far from the leap i was looking for. The Pros Sound Better, But i Still Find Myelf Using My Regular Airpods Offen Becouse I Prefer The Fit of Those Over The Larger Silicon Tips of the pros. Battery Life Is Also Higher, But Again, It’s More of A Mild Improvement Than A Generational Leap. 
 They’re Very Solid, but not A Must Buy. I Think for Most People, The Choice Between Airpods and Airpod Pros Will End Up Being Personal Taste, and Which Features and Fit They Prefer.",6,2022-12-12,1
Michelle,5,BUY IT RN,United States,1,I was a little bit skeptical at first scholause i had Never boought a Refurbished Apple Product Before But I Didnt Want To Spend The Almost $ 300 WHEN I COULD GET IT FOR $ 150ISH. it Shipped Really Really Fast Like I Literally Got It 2 Days After I Bought It and I Didnt Even Pay for The Expected Shipping. The Noise Cancellation Works Perfectly and the Airpods are in Perfect condition and it Even Came in the original box so you could Totally Gift these to Sub Subsone Else. The Only Thing That I Didnt Like was that when you try to connect it to your find my iPhone App It Says That There's a Missing Which is prohibiting it from connection but that honestly the Only Thing Wrong with it.,7,2023-01-17,1
Jayden,5,Greta Product Slightly Dirty,United States,1,"EveryTHING WORKS! The Only Down Sid Eid there was Sub Dirt and Left Over Earwax on The Earbud, I’m Assuming From Testing Before Shipping Out. But nothing rubbing alcohol can’t fix!",0,2023-02-15,1
Trevor Jordan,4,Quality,United States,1,"Vary Good Quality, Sound Is Ok for Mid and High Notes But Not Much Bass. Battery Life is great for the Buds. The Case Can Recharge A Couple of Times.",3,2023-01-26,1
Savana,4,These Airpods are Real,United States,1,"I GOT SCARED AFTER LOOKING AT THE QUESTION PART OF THE REVIEWS AND LOOKED TOO SEE IF MINE WERE ACCOUNT REALLY OR NOT GLAD TOO SEE THAT THAT ARE, ALTHOUGUD they do keep pausing my video and STUFF I THINK THAT'S JUS I HAV'T CHANGED THE SIZES ONHEM THE CAME CLEAN THE BOX BEING THE ONLY THING THAT WAS A LITTE DIRTY",4,2022-12-24,1
Giovany,5,Works Perf,United States,1,I’ve Had Them for At Least A YEAR NOW AND they’VE WORKED SOLIDLY EVER SINCE,0,2023-02-16,1
Me,4,Good butys work ...,United States,1,EveryTHING WORKS FINE AND SOUNTS GOOD BUT I HATE THE FACT THAT I’M UNIBLE TO USE THEM IN THE FIND MY APP. TRIED TROUBLASHOOTING BUT NOHING HAS WORKED. Will Be Returning Them. You are ae a Great option If you do not care to track them.,5,2023-01-04,1
Janina,5,Like Brand New!,United States,1,I have boought all My Apple Products Refurbished so a lot,0,2023-02-13,1
Ralph,5,Get This !!! I thought This was a scam but it came in the box and everyhthing.,United States,1,It works just as if it was new.,0,2023-01-26,1
Summer Bush,5,Perfect,United States,1,"I had the Same Thing Brand New But Lost Them as They were Dead, So i Can’t Track Them. These work as if they’re brand new.",0,2023-01-12,1
Kevin,4,"Good Refurbished Pair, Not ""Factory Reset.""",United States,1,"Good Refurbished Pair, Not ""Factory Reset."" Had to look up and take care of this myself. Otherwise, Battery Is Ok, Not Factory Renewed. Just sumone Who Got Rid of/Sold and The Subsone Wiped Them Off and Resold Them in An iPods Box. Not bad…",4,2022-11-06,1
Chulpan,5,Works Perf,United States,1,"Great! I love it, don't please!",0,2023-01-22,1
Gwen Allen,5,As described,United States,1,"Just What I Wanted, Thank You!",0,2023-01-18,1
Katherine Casey,4,ATTACHED TO OTHER PERSONS EMAIL,United States,1,"it came see quick, but still attached to the person Before’s Email and it tracks where the airpods are and alerts me that I will have the ELSE’S Airpods Traveling With Me",6,2022-11-07,1
Ris,3,Could Not Connect and Returned,United States,1,"TRIED MULTIPLE WAYS TO GETSE TO CONNECT WITH MY PHONE, WENT TO YOUTUBE AND STILL NOTILED HELPED. Rear to Amazon, they suggested all that i did. They weren's going to let me return but retracted. I was Thekful. Won't purchase a Refurbished Product from Them Again.",0,2023-02-07,0
rail*,4,Airpods are not reprogrammed to factory default.,United States,1,"Airpods Work as Expecta. Only issue i have is that since they were pre Owned / Refurbished, Airpods were not return to factory setting. WHEN I INITIALLY CONNECTED THE AIR PODS TO MY PHONE SUBEONE’S ELSE’S NAME CAME UP. Makes You Wonder If the Previous Owner Can See You On Find My Airpods.",9,2022-10-15,1
noah waterhouse,3,One Airpod Faulty,United States,1,I Notice The Right Airpod Having A Static Sound to It and Also Glitching out at Random Times. The Amount I Paid I Shouldn’t Have Gotten A Faulty Airpod,0,2023-02-15,0
Desta Kimathi,5,Best Product Ever !!!!!!!,United States,1,I love before airpod pros and how well they work! ☺️,0,2023-01-12,1
