rating,country,full_review,date,seller_rating,product_rating,shipping_rating,review_length,negative_sentiment_score,neutral_sentiment_score,positive_sentiment_score,compound_sentiment_score
4,United States,"it has good noise cancellation the only problems i had was it was used. found and i was kind of scarad to buy it beckouse everybody had sub summ looked brand new than i tried to pair them to my phone but it came up as 
 ""grandma"" so i paired them to my phone then went to my settings and change the name of the pods than i paired it to my tracker and it was as if it was brand new the noise cancella problems and fyi i got the excellents condition ... !!!",2023-02-01,0,2,2,455,0.062,0.897,0.041,-0.4812
4,United States,"love the headphones. i boought these headphones last year and they have worked great ever since i have drop them. their noise cancellation is great and you cannot hear anything after you switch it on. the sound quality and battery life is also really great. the only thing that i do not like is there is a notification on my phone about the headphones following me when i own them. i did figure out how to turn it off butat is the only thing that i did not like. oher than that minor disadvenient, the headphones are amazing.",2023-02-02,0,5,0,525,0.054,0.77,0.176,0.9536
4,United States,"solid. the noise cancellation feature is vry cool, and for people that are looking for that as a main feature in their earbuds, i think the’ll be thrilled. 
 for me, i was intersted in the sound quality and battery life, and was a little disappointed. it is by no means bad, but it also is not anything worldhattering. 
 i went from normal airpods to pros and was expecting a much significant jump in quality. there is a notable jump, but it is far from the leap i was looking for. the pros sound better, but i still find myself using my regular airpods offen becouse i prefer the fit of those over the larger silicon tips of the pros. battery life is also higher, but again, it is more of a mild improvement than a generational leap. 
 they are vley solid, but not a must buy. i think for most people, the choice between airpods and airpod pros will end up being personal taste, and which features and fit they prefer.",2022-12-12,0,5,0,919,0.019,0.847,0.135,0.9627
5,United States,buy it right now. i was a little skeptical bit at first scholause i had never bought a refurbished apple product before but i did not want to spend the almost $ 300 when i could get it for $ 150ish. it shipped really really fast like i literally got it 2 days after i bought it and i did not even pay for the expedited shipping. the noise cancellation works perfectly and the airpods are in perfect condition and it even came in the original box so you could totally gift these to sub subsone else. the only thing that i did not like was that when you try to connect it to your find my iphone app ita says that there is a missing which is prohibiting it from connection but that honestly the only thing wrong with it.,2023-01-17,0,5,5,717,0.074,0.763,0.163,0.9592
5,United States,"greta product slightly dirty. everything works! the only down sid eid there was sub dirt and left over earwax on the earbud, i am assuming from testing before shipping out. but nothing rubbing alcohol cannot fix!",2023-02-15,0,2,2,212,0.107,0.893,0.0,-0.4745
4,United States,"quality vary good quality, sound is ok for mid and high notes but not much bass. battery life is great for the buds. the case can recharge a couple of times.",2023-01-26,0,5,0,157,0.0,0.753,0.247,0.8481
4,United States,"these airpods are real. i got scared after looking at the question part of the reviews and looked too see if mine were actuely reallo or not glad too see that the are, althouge i have't changed the sizes on them they came the box being the only thing that was a litte dirty",2022-12-24,0,1,1,273,0.14,0.86,0.0,-0.8063
5,United States,works perf. i have had them for at least a year now and the’ve worked solidly ever since,2023-02-16,0,3,0,88,0.0,1.0,0.0,0.0
4,United States,good but works…. everything works fine and sounds good but i hate the fact that i am unable to use them in the find my app. trid troublashooting but nohing has worked. will be returning them. you are ae a great option if you do not care to track them.,2023-01-04,0,5,5,251,0.128,0.665,0.206,0.6319
5,United States,like brand new!. i have boought all my apple products refurbished so mucheper but like brand new!,2023-02-13,0,5,0,97,0.0,0.715,0.285,0.7166
